Country,Variable,Year,PercentageValue,Air_pollution_MM3,Dwellings_without_basic_facilities_%,Educational_attainment_%_Men,Educational_attainment_%_Total,Educational_attainment_%_Wemen,Employees_working_very_long_hours_%_Men,Employees_working_very_long_hours_%_Total,Employees_working_very_long_hours_%_Wemen,Employment_rate_%_Men,Employment_rate_%_Total,Employment_rate_%_Wemen,safety_at_night_%_M,safety_at_night_%_T,safety_at_night_%_F,Homicide_rate_M,Homicide_rate_T,Homicide_rate_F,Household_net_income,Household_net_wealth,Housing _xpenditure_%,Labour_market_insecurity_High%,Labour_market_insecurity_Low%,Labour_market_insecurity_M%,Labour_market_insecurity_T%,Labour_market_insecurity_F%,Life_expectancy_M,Life_expectancy_T,Life_expectancy_F,Life_satisfaction_high,Life_satisfaction_low,Life_satisfaction_M,Life_satisfaction_T,Life_satisfaction_F,Long_unemployment_rate_%_M,Long_unemployment_rate_%_T,Long_unemployment_rate_%_F,Personal earnings,Quality of support network_High_%,Quality of support network_Low_%,Quality of support network_M_%,Quality of support network_T_%,Quality of support network_F_%,Rooms_per_person,Self_reported_health_High_%,Self_reported_health_Low_%,Self_reported_health_M_%,Self_reported_health_T_%,Self_reported_health_F_%,Stakeholder_engagement_for_developing _egulations,Student skills_high,Student skills_low,Student skills_M,Student skills_T,Student skills_F,Time_devoted_to _eisure_and_personal_care_M,Time_devoted_to _eisure_and_personal_care_T,Time_devoted_to _eisure_and_personal_care_F,Voter turnout,Water_quality_M,Water_quality_T,Water_quality_F,Years_in_education_M,Years_in_education_T,Years_in_education_F
Australia,TOTPUBSEW,2010,92.79,5,"",82,81,80,19.17,13.04,6.31,78,73,68,80.1,63.5,48.8,1.5,1.1,0.7,32759,427064,20,2.29,11.02,5.9,5.4,5,80.4,82.5,84.6,7.5,"",7.2,maybe,7.4,1.38,1.31,1.23,49126,96,"",96,95,94,"",94,"",85,85,85,2.7,550,0,498,502,506,14.37,14.35,14.33,91,93,satisfying,92,20.8,21,21.1
Australia,TOTPUBSEW,2011,93.84,5,"",82,81,80,19.17,13.04,6.31,78,73,68,80.1,63.5,48.8,1.5,1.1,0.7,32759,427064,20,2.29,11.02,5.9,5.4,5,80.4,82.5,84.6,7.5,"",7.2,maybe,7.4,1.38,1.31,1.23,49126,96,"",96,95,94,"",94,"",85,85,85,2.7,550,0,498,502,506,14.37,14.35,14.33,91,93,satisfying,92,20.8,21,21.1
Australia,TOTPUBSEW,2012,94.1,5,"",82,81,80,19.17,13.04,6.31,78,73,68,80.1,63.5,48.8,1.5,1.1,0.7,32759,427064,20,2.29,11.02,5.9,5.4,5,80.4,82.5,84.6,7.5,"",7.2,maybe,7.4,1.38,1.31,1.23,49126,96,"",96,95,94,"",94,"",85,85,85,2.7,550,0,498,502,506,14.37,14.35,14.33,91,93,satisfying,92,20.8,21,21.1
Australia,TOTPUBSEW,2013,94.08,5,"",82,81,80,19.17,13.04,6.31,78,73,68,80.1,63.5,48.8,1.5,1.1,0.7,32759,427064,20,2.29,11.02,5.9,5.4,5,80.4,82.5,84.6,7.5,"",7.2,maybe,7.4,1.38,1.31,1.23,49126,96,"",96,95,94,"",94,"",85,85,85,2.7,550,0,498,502,506,14.37,14.35,14.33,91,93,satisfying,92,20.8,21,21.1
Australia,TOTPUBSEW,2014,92.57,5,"",82,81,80,19.17,13.04,6.31,78,73,68,80.1,63.5,48.8,1.5,1.1,0.7,32759,427064,20,2.29,11.02,5.9,5.4,5,80.4,82.5,84.6,7.5,"",7.2,maybe,7.4,1.38,1.31,1.23,49126,96,"",96,95,94,"",94,"",85,85,85,2.7,550,0,498,502,506,14.37,14.35,14.33,91,93,satisfying,92,20.8,21,21.1
Australia,TOTPUBSEW,2015,92.38,5,"",82,81,80,19.17,13.04,6.31,78,73,68,80.1,63.5,48.8,1.5,1.1,0.7,32759,427064,20,2.29,11.02,5.9,5.4,5,80.4,82.5,84.6,7.5,"",7.2,maybe,7.4,1.38,1.31,1.23,49126,96,"",96,95,94,"",94,"",85,85,85,2.7,550,0,498,502,506,14.37,14.35,14.33,91,93,satisfying,92,20.8,21,21.1
Australia,TOTPUBSEW,2016,92.48,5,"",82,81,80,19.17,13.04,6.31,78,73,68,80.1,63.5,48.8,1.5,1.1,0.7,32759,427064,20,2.29,11.02,5.9,5.4,5,80.4,82.5,84.6,7.5,"",7.2,maybe,7.4,1.38,1.31,1.23,49126,96,"",96,95,94,"",94,"",85,85,85,2.7,550,0,498,502,506,14.37,14.35,14.33,91,93,satisfying,92,20.8,21,21.1
Australia,TOTPUBSEW,2017,92.69,5,"",82,81,80,19.17,13.04,6.31,78,73,68,80.1,63.5,48.8,1.5,1.1,0.7,32759,427064,20,2.29,11.02,5.9,5.4,5,80.4,82.5,84.6,7.5,"",7.2,maybe,7.4,1.38,1.31,1.23,49126,96,"",96,95,94,"",94,"",85,85,85,2.7,550,0,498,502,506,14.37,14.35,14.33,91,93,satisfying,92,20.8,21,21.1
Australia,TOTPUBSEW,2018,92.64,5,"",82,81,80,19.17,13.04,6.31,78,73,68,80.1,63.5,48.8,1.5,1.1,0.7,32759,427064,20,2.29,11.02,5.9,5.4,5,80.4,82.5,84.6,7.5,"",7.2,maybe,7.4,1.38,1.31,1.23,49126,96,"",96,95,94,"",94,"",85,85,85,2.7,550,0,498,502,506,14.37,14.35,14.33,91,93,satisfying,92,20.8,21,21.1
Australia,TOTPUBSEW,2019,92.8561,5,"",82,81,80,19.17,13.04,6.31,78,73,68,80.1,63.5,48.8,1.5,1.1,0.7,32759,427064,20,2.29,11.02,5.9,5.4,5,80.4,82.5,84.6,7.5,"",7.2,maybe,7.4,1.38,1.31,1.23,49126,96,"",96,95,94,"",94,"",85,85,85,2.7,550,0,498,502,506,14.37,14.35,14.33,91,93,satisfying,92,20.8,21,21.1
